Distance,Depth,15/06/2015 16:35,15/06/2015 16:37,15/06/2015 16:39,15/06/2015 16:41,15/06/2015 16:43,15/06/2015 16:45,15/06/2015 16:47,15/06/2015 16:49,15/06/2015 16:52,15/06/2015 16:54,15/06/2015 16:56,15/06/2015 16:58,15/06/2015 17:00,15/06/2015 17:02,15/06/2015 17:04,15/06/2015 17:06,15/06/2015 17:08,15/06/2015 17:10,15/06/2015 17:12,15/06/2015 17:14,15/06/2015 17:16,15/06/2015 17:18,15/06/2015 17:20,15/06/2015 17:23,15/06/2015 17:25,15/06/2015 17:27,15/06/2015 17:29
50.961,0.137515924,15.336,15.202,15.25,15.297,15.265,15.369,15.223,15.288,15.076,15.337,15.465,15.415,15.304,15.429,15.396,15.359,15.226,15.323,15.358,15.513,15.304,15.36,15.26,15.283,15.3,15.373,15.31
51.215,0.14156051,15.16,15.046,15.142,15.166,15.264,15.257,15.077,15.13,15.065,15.35,15.298,15.35,15.229,15.366,15.337,15.347,15.176,15.366,15.452,15.381,15.338,15.215,15.217,15.356,15.313,15.313,15.325
51.469,0.145605096,15.138,15.105,15.067,15.064,15.284,15.191,15.06,15.104,15.153,15.221,15.154,15.273,15.163,15.226,15.202,15.443,15.281,15.364,15.301,15.37,15.363,15.266,15.245,15.38,15.348,15.195,15.343
51.723,0.149649682,15.111,15.221,15.159,15.117,15.241,15.219,15.053,15.224,15.227,15.234,15.148,15.169,15.116,15.245,15.271,15.36,15.286,15.313,15.252,15.31,15.405,15.334,15.221,15.325,15.312,15.168,15.317
51.977,0.153694268,15.166,15.212,15.192,15.13,15.199,15.14,14.992,15.17,15.207,15.132,15.204,15.241,15.113,15.166,15.334,15.265,15.206,15.288,15.336,15.284,15.321,15.357,15.258,15.384,15.277,15.177,15.278
52.231,0.157738854,15.094,15.064,15.118,15.111,15.076,15.022,14.999,15.092,15.09,14.99,15.174,15.223,15.114,15.079,15.276,15.241,15.13,15.21,15.232,15.261,15.183,15.255,15.178,15.265,15.183,15.26,15.305
52.485,0.161783439,15.044,15.046,15.026,14.936,15.002,15.023,14.943,15.055,14.967,14.997,15.161,15.125,15.065,15.08,15.097,15.166,15.142,15.146,15.107,15.142,15.132,15.165,15.166,15.224,14.997,15.27,15.25
52.739,0.165828025,14.888,14.976,14.898,14.845,14.817,15.022,14.847,14.902,14.847,14.898,15.012,15.029,15.019,14.948,15.153,14.995,15.025,15.071,15.013,15.046,14.946,15.023,15.016,15.045,14.948,15.084,14.958
52.993,0.169872611,14.827,14.834,14.768,14.757,14.86,14.979,14.785,14.873,14.736,14.921,14.953,14.902,14.945,14.87,15.025,14.912,14.862,14.961,14.981,14.871,14.912,14.962,14.988,14.868,14.977,14.945,14.734
53.247,0.173917197,14.892,14.802,14.752,14.797,14.861,14.819,14.742,14.796,14.716,14.878,14.908,14.824,14.807,14.837,14.92,14.753,14.797,14.846,14.912,14.703,14.879,14.878,14.874,14.759,14.873,14.745,14.691
53.501,0.177961783,14.784,14.789,14.74,14.784,14.7,14.69,14.684,14.763,14.734,14.837,14.815,14.747,14.815,14.944,14.889,14.785,14.818,14.813,14.755,14.772,14.829,14.706,14.705,14.786,14.871,14.63,14.813
53.755,0.182006369,14.471,14.627,14.589,14.607,14.592,14.593,14.599,14.646,14.699,14.751,14.822,14.753,14.737,14.866,14.795,14.736,14.753,14.831,14.761,14.769,14.761,14.561,14.847,14.854,14.849,14.676,14.81
54.009,0.186050955,14.385,14.514,14.454,14.617,14.531,14.605,14.616,14.574,14.586,14.726,14.668,14.664,14.772,14.755,14.805,14.645,14.646,14.796,14.776,14.717,14.617,14.653,14.817,14.847,14.789,14.694,14.689
54.263,0.190095541,14.346,14.567,14.385,14.682,14.524,14.624,14.564,14.583,14.508,14.571,14.46,14.545,14.701,14.697,14.64,14.624,14.584,14.613,14.672,14.722,14.535,14.698,14.64,14.756,14.659,14.587,14.637
54.517,0.194140127,14.295,14.592,14.538,14.527,14.593,14.503,14.446,14.469,14.379,14.538,14.464,14.537,14.532,14.684,14.501,14.586,14.571,14.651,14.63,14.693,14.647,14.706,14.594,14.663,14.537,14.588,14.656
54.771,0.198184713,14.258,14.493,14.408,14.483,14.525,14.539,14.303,14.463,14.357,14.557,14.473,14.552,14.552,14.586,14.493,14.601,14.591,14.611,14.62,14.589,14.619,14.626,14.548,14.762,14.605,14.572,14.752
55.025,0.202229299,14.302,14.442,14.324,14.437,14.422,14.441,14.307,14.38,14.518,14.427,14.48,14.505,14.61,14.469,14.497,14.599,14.502,14.59,14.526,14.564,14.534,14.622,14.557,14.62,14.571,14.59,14.63
55.279,0.206273885,14.387,14.35,14.376,14.435,14.3,14.36,14.215,14.322,14.301,14.323,14.447,14.396,14.454,14.377,14.489,14.513,14.411,14.485,14.455,14.481,14.478,14.633,14.42,14.467,14.517,14.499,14.461
55.533,0.210318471,14.311,14.342,14.276,14.309,14.211,14.293,14.278,14.373,14.231,14.264,14.413,14.307,14.363,14.286,14.503,14.402,14.383,14.369,14.405,14.377,14.485,14.525,14.228,14.546,14.511,14.395,14.271
55.787,0.214363057,14.233,14.321,14.149,14.221,14.11,14.285,14.229,14.293,14.26,14.179,14.285,14.277,14.325,14.301,14.449,14.322,14.362,14.3,14.397,14.236,14.321,14.384,14.295,14.397,14.36,14.277,14.204
56.041,0.218407643,14.169,14.328,14.028,14.248,14.099,14.252,14.21,14.192,14.147,14.156,14.215,14.242,14.25,14.264,14.248,14.284,14.218,14.182,14.256,14.133,14.291,14.282,14.276,14.387,14.309,14.257,14.19
56.295,0.222452229,14.156,14.219,13.996,14.261,14.089,14.075,14.06,14.115,13.999,14.13,14.111,14.231,14.221,14.127,14.178,14.226,14.246,14.183,14.283,14.252,14.315,14.284,14.255,14.34,14.323,14.281,14.161
56.549,0.226496815,14.123,14.066,13.958,14.253,14.108,14.031,13.954,14.109,13.941,14.03,14.115,14.106,14.156,14.106,14.159,14.169,14.18,14.166,14.179,14.251,14.316,14.287,14.246,14.249,14.348,14.123,14.218
56.803,0.230541401,14.118,13.952,14.017,14.076,14.188,14.04,13.985,14.032,13.944,13.925,14.118,14.062,14.129,14.13,14.144,14.132,14.062,14.198,14.171,14.297,14.229,14.178,14.091,14.093,14.126,14.123,14.208
57.057,0.234585987,14.041,14.019,14.172,14.057,14.025,14.041,14.038,14.005,13.982,14.021,14.151,14.103,14.159,14.142,14.127,14.083,14.084,14.176,14.167,14.203,14.148,14.2,14.063,14.137,14.179,14.197,14.188
57.311,0.238630573,14.039,13.943,14.185,14.189,13.867,14.098,14.019,14.011,14.065,14.071,14.154,14.181,14.078,14.076,14.144,14.146,14.005,14.084,14.093,14.207,14.076,14.116,13.996,14.248,14.234,14.185,14.09
57.565,0.242675159,14.179,13.938,13.949,14.064,13.931,14.018,14.031,14.101,13.927,14.084,14.05,14.219,14.075,14.071,14.066,14.101,13.964,14.08,14.252,14.147,13.953,13.995,13.933,14.179,14.173,14.059,14.137
57.819,0.246719745,14.084,13.928,13.902,13.935,13.935,13.984,14.048,13.991,13.849,13.962,13.92,13.975,14.007,13.94,14.068,14.08,14.105,13.934,14.195,14.029,14.044,13.901,13.997,14.071,14.086,14.014,14.168
58.073,0.250764331,13.878,13.943,13.885,13.967,13.829,13.974,13.996,13.895,13.847,13.925,13.954,13.859,13.942,13.875,14.019,14.091,14.116,13.929,14.121,13.919,14.213,13.824,13.936,13.927,14.057,13.94,14
58.327,0.254808917,13.844,13.999,13.815,13.968,13.875,14.036,14.009,13.907,13.967,13.941,13.986,13.937,13.922,13.915,14.001,14.038,13.957,13.993,14.042,13.883,14.095,13.829,13.882,13.942,14.028,13.858,13.9
58.581,0.258853503,13.862,13.961,13.899,13.98,13.951,13.879,13.97,13.885,13.942,13.987,13.887,13.96,13.874,13.95,14.029,14.013,13.936,13.998,13.914,13.915,13.998,13.935,13.855,13.934,13.966,13.951,13.974
58.835,0.262898089,13.835,13.924,13.927,13.885,13.898,13.841,13.841,13.831,13.866,13.899,13.889,13.937,13.829,13.888,13.959,14.004,13.976,14.013,13.934,13.887,13.866,13.945,13.858,13.977,13.967,14.028,13.893
59.089,0.266942675,13.863,13.885,13.892,13.933,13.908,13.866,13.809,13.786,13.871,13.758,13.938,13.866,13.835,13.928,13.926,14.01,13.994,13.995,13.954,13.821,13.904,13.898,13.927,14.067,13.932,13.935,13.825
59.343,0.270987261,13.871,13.807,13.887,13.889,13.976,13.869,13.851,13.738,13.825,13.762,13.864,13.84,13.835,13.937,14.017,13.94,13.904,14.013,13.939,13.861,13.947,14.006,13.894,13.941,13.872,13.854,13.866
59.597,0.275031847,13.848,13.795,13.907,13.795,13.896,13.833,13.935,13.757,13.714,13.792,13.856,13.914,13.894,13.859,13.985,13.968,13.879,14.131,14.031,13.939,13.96,14.054,13.949,13.911,13.905,13.88,13.968
